"8.1 Vaaliliitot ja niiden ‰‰nim‰‰r‰t vaalipiireitt‰in eduskuntavaaleissa 2015"

"Vaaliliitto/Puolue/Vaalipiiri";"ƒ‰nim‰‰r‰"
"VAALIPIIRI / Yhteens‰ / Helsingin vaalipiiri";359875
"Vaaliliitto 1 / Yhteens‰ / Helsingin vaalipiiri";6735
"- Vaaliliitto 1 / KD / Helsingin vaalipiiri";6407
"- Vaaliliitto 1 / KA / Helsingin vaalipiiri";328
"SDP / Helsingin vaalipiiri";55874
"PS / Helsingin vaalipiiri";40583
"KOK / Helsingin vaalipiiri";93392
"KESK / Helsingin vaalipiiri";25947
"VAS / Helsingin vaalipiiri";35435
"RKP / Helsingin vaalipiiri";24645
"VIHR / Helsingin vaalipiiri";67806
"SKP / Helsingin vaalipiiri";1485
"STP / Helsingin vaalipiiri";244
"KTP / Helsingin vaalipiiri";76
"Muutos2011 / Helsingin vaalipiiri";480
"IP / Helsingin vaalipiiri";1242
"Piraattip. / Helsingin vaalipiiri";5119
"Muut / Helsingin vaalipiiri";812
"VAALIPIIRI / Yhteens‰ / Uudenmaan vaalipiiri";520119
"Vaaliliitto 1 / Yhteens‰ / Uudenmaan vaalipiiri";1363
"- Vaaliliitto 1 / SKP / Uudenmaan vaalipiiri";1189
"- Vaaliliitto 1 / STP / Uudenmaan vaalipiiri";174
"SDP / Uudenmaan vaalipiiri";86462
"PS / Uudenmaan vaalipiiri";93411
"KD / Uudenmaan vaalipiiri";13750
"KOK / Uudenmaan vaalipiiri";124754
"KESK / Uudenmaan vaalipiiri";59749
"VAS / Uudenmaan vaalipiiri";22698
"RKP / Uudenmaan vaalipiiri";53232
"VIHR / Uudenmaan vaalipiiri";52034
"KTP / Uudenmaan vaalipiiri";262
"Muutos2011 / Uudenmaan vaalipiiri";3473
"IP / Uudenmaan vaalipiiri";2131
"Piraattip. / Uudenmaan vaalipiiri";5893
"KA / Uudenmaan vaalipiiri";295
"Muut / Uudenmaan vaalipiiri";612
"VAALIPIIRI / Yhteens‰ / Varsinais-Suomen vaalipiiri";263394
"Vaaliliitto 1 / Yhteens‰ / Varsinais-Suomen vaalipiiri";68466
"- Vaaliliitto 1 / KOK / Varsinais-Suomen vaalipiiri";55355
"- Vaaliliitto 1 / RKP / Varsinais-Suomen vaalipiiri";13111
"Vaaliliitto 2 / Yhteens‰ / Varsinais-Suomen vaalipiiri";727
"- Vaaliliitto 2 / SKP / Varsinais-Suomen vaalipiiri";664
"- Vaaliliitto 2 / KTP / Varsinais-Suomen vaalipiiri";63
"SDP / Varsinais-Suomen vaalipiiri";40835
"PS / Varsinais-Suomen vaalipiiri";50813
"KD / Varsinais-Suomen vaalipiiri";6319
"KESK / Varsinais-Suomen vaalipiiri";42763
"VAS / Varsinais-Suomen vaalipiiri";27001
"VIHR / Varsinais-Suomen vaalipiiri";22875
"STP / Varsinais-Suomen vaalipiiri";184
"Muutos2011 / Varsinais-Suomen vaalipiiri";172
"IP / Varsinais-Suomen vaalipiiri";963
"Piraattip. / Varsinais-Suomen vaalipiiri";2008
"Muut / Varsinais-Suomen vaalipiiri";268
"VAALIPIIRI / Yhteens‰ / Satakunnan vaalipiiri";122331
"SDP / Satakunnan vaalipiiri";27631
"PS / Satakunnan vaalipiiri";30600
"KD / Satakunnan vaalipiiri";3525
"KOK / Satakunnan vaalipiiri";18377
"KESK / Satakunnan vaalipiiri";25247
"VAS / Satakunnan vaalipiiri";11730
"RKP / Satakunnan vaalipiiri";426
"VIHR / Satakunnan vaalipiiri";3335
"SKP / Satakunnan vaalipiiri";127
"STP / Satakunnan vaalipiiri";39
"KTP / Satakunnan vaalipiiri";77
"Muutos2011 / Satakunnan vaalipiiri";393
"IP / Satakunnan vaalipiiri";436
"Piraattip. / Satakunnan vaalipiiri";388
"VAALIPIIRI / Yhteens‰ / H‰meen vaalipiiri";202446
"SDP / H‰meen vaalipiiri";44737
"PS / H‰meen vaalipiiri";39537
"KD / H‰meen vaalipiiri";12412
"KOK / H‰meen vaalipiiri";43544
"KESK / H‰meen vaalipiiri";36020
"VAS / H‰meen vaalipiiri";12182
"VIHR / H‰meen vaalipiiri";10350
"SKP / H‰meen vaalipiiri";489
"KTP / H‰meen vaalipiiri";143
"Muutos2011 / H‰meen vaalipiiri";632
"IP / H‰meen vaalipiiri";742
"Piraattip. / H‰meen vaalipiiri";1658
"VAALIPIIRI / Yhteens‰ / Pirkanmaan vaalipiiri";278073
"Vaaliliitto 1 / Yhteens‰ / Pirkanmaan vaalipiiri";1191
"- Vaaliliitto 1 / SKP / Pirkanmaan vaalipiiri";1130
"- Vaaliliitto 1 / STP / Pirkanmaan vaalipiiri";61
"SDP / Pirkanmaan vaalipiiri";54220
"PS / Pirkanmaan vaalipiiri";49551
"KD / Pirkanmaan vaalipiiri";13553
"KOK / Pirkanmaan vaalipiiri";54648
"KESK / Pirkanmaan vaalipiiri";46189
"VAS / Pirkanmaan vaalipiiri";21780
"VIHR / Pirkanmaan vaalipiiri";28537
"KTP / Pirkanmaan vaalipiiri";123
"Muutos2011 / Pirkanmaan vaalipiiri";486
"IP / Pirkanmaan vaalipiiri";2289
"Piraattip. / Pirkanmaan vaalipiiri";3037
"Muut / Pirkanmaan vaalipiiri";2469
"VAALIPIIRI / Yhteens‰ / Kaakkois-Suomen vaalipiiri";245545
"SDP / Kaakkois-Suomen vaalipiiri";54604
"PS / Kaakkois-Suomen vaalipiiri";51707
"KD / Kaakkois-Suomen vaalipiiri";11056
"KOK / Kaakkois-Suomen vaalipiiri";38947
"KESK / Kaakkois-Suomen vaalipiiri";61794
"VAS / Kaakkois-Suomen vaalipiiri";7336
"RKP / Kaakkois-Suomen vaalipiiri";728
"VIHR / Kaakkois-Suomen vaalipiiri";15664
"SKP / Kaakkois-Suomen vaalipiiri";286
"STP / Kaakkois-Suomen vaalipiiri";53
"KTP / Kaakkois-Suomen vaalipiiri";106
"Muutos2011 / Kaakkois-Suomen vaalipiiri";199
"IP / Kaakkois-Suomen vaalipiiri";1806
"Piraattip. / Kaakkois-Suomen vaalipiiri";1085
"Muut / Kaakkois-Suomen vaalipiiri";174
"VAALIPIIRI / Yhteens‰ / Savo-Karjalan vaalipiiri";216880
"Vaaliliitto 1 / Yhteens‰ / Savo-Karjalan vaalipiiri";769
"- Vaaliliitto 1 / SKP / Savo-Karjalan vaalipiiri";639
"- Vaaliliitto 1 / STP / Savo-Karjalan vaalipiiri";130
"SDP / Savo-Karjalan vaalipiiri";34629
"PS / Savo-Karjalan vaalipiiri";42696
"KD / Savo-Karjalan vaalipiiri";13578
"KOK / Savo-Karjalan vaalipiiri";24980
"KESK / Savo-Karjalan vaalipiiri";70573
"VAS / Savo-Karjalan vaalipiiri";12750
"VIHR / Savo-Karjalan vaalipiiri";14599
"KTP / Savo-Karjalan vaalipiiri";55
"Muutos2011 / Savo-Karjalan vaalipiiri";277
"IP / Savo-Karjalan vaalipiiri";705
"Piraattip. / Savo-Karjalan vaalipiiri";1269
"VAALIPIIRI / Yhteens‰ / Vaasan vaalipiiri";245817
"SDP / Vaasan vaalipiiri";29024
"PS / Vaasan vaalipiiri";38964
"KD / Vaasan vaalipiiri";14076
"KOK / Vaasan vaalipiiri";29195
"KESK / Vaasan vaalipiiri";67333
"VAS / Vaasan vaalipiiri";7238
"RKP / Vaasan vaalipiiri";50777
"VIHR / Vaasan vaalipiiri";6136
"SKP / Vaasan vaalipiiri";200
"STP / Vaasan vaalipiiri";64
"KTP / Vaasan vaalipiiri";57
"Muutos2011 / Vaasan vaalipiiri";228
"IP / Vaasan vaalipiiri";1461
"Piraattip. / Vaasan vaalipiiri";933
"Muut / Vaasan vaalipiiri";131
"VAALIPIIRI / Yhteens‰ / Keski-Suomen vaalipiiri";151269
"SDP / Keski-Suomen vaalipiiri";28710
"PS / Keski-Suomen vaalipiiri";29142
"KD / Keski-Suomen vaalipiiri";6656
"KOK / Keski-Suomen vaalipiiri";19776
"KESK / Keski-Suomen vaalipiiri";40729
"VAS / Keski-Suomen vaalipiiri";10145
"VIHR / Keski-Suomen vaalipiiri";13599
"SKP / Keski-Suomen vaalipiiri";639
"STP / Keski-Suomen vaalipiiri";35
"KTP / Keski-Suomen vaalipiiri";31
"Muutos2011 / Keski-Suomen vaalipiiri";86
"IP / Keski-Suomen vaalipiiri";379
"Piraattip. / Keski-Suomen vaalipiiri";1264
"Muut / Keski-Suomen vaalipiiri";78
"VAALIPIIRI / Yhteens‰ / Oulun vaalipiiri";249652
"SDP / Oulun vaalipiiri";22433
"PS / Oulun vaalipiiri";40429
"KD / Oulun vaalipiiri";2690
"KOK / Oulun vaalipiiri";27089
"KESK / Oulun vaalipiiri";106581
"VAS / Oulun vaalipiiri";29580
"RKP / Oulun vaalipiiri";1413
"VIHR / Oulun vaalipiiri";15524
"SKP / Oulun vaalipiiri";396
"KTP / Oulun vaalipiiri";68
"Muutos2011 / Oulun vaalipiiri";797
"IP / Oulun vaalipiiri";1038
"Piraattip. / Oulun vaalipiiri";1614
"VAALIPIIRI / Yhteens‰ / Lapin vaalipiiri";100871
"Vaaliliitto 1 / Yhteens‰ / Lapin vaalipiiri";17733
"- Vaaliliitto 1 / PS / Lapin vaalipiiri";16621
"- Vaaliliitto 1 / KD / Lapin vaalipiiri";1112
"SDP / Lapin vaalipiiri";10943
"KOK / Lapin vaalipiiri";10155
"KESK / Lapin vaalipiiri";43293
"VAS / Lapin vaalipiiri";13827
"RKP / Lapin vaalipiiri";470
"VIHR / Lapin vaalipiiri";2643
"SKP / Lapin vaalipiiri";285
"KTP / Lapin vaalipiiri";39
"Muutos2011 / Lapin vaalipiiri";219
"IP / Lapin vaalipiiri";446
"Piraattip. / Lapin vaalipiiri";818
"VAALIPIIRI / Yhteens‰ / Ahvenanmaan maakunnan vaalipiiri";12187
"Muut / Ahvenanmaan maakunnan vaalipiiri";12187
